SR NO.,DATE,LOT NO.,PARTY NAME,BRAND,MODEL,QTY,ISSUE MODEL,REMARK,REPLACEMENT NO.,DOA CREDIT NOTE,DATE2,REMARK2,DOA NO ,DATE3,SEND TO COMPANY,DATE4,JOB SHEET NO.,DATE42,FDESPATCH THROUGH,DISPATCH DOC NO.,DATE5
1,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA  CC10 CABLE,1,CC10,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PORTER,9987268002.0,28-23-2025
2,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA WPB1004 22.W GREY PB10000 MAH,2,WPB1004,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PORTER,9987268002.0,28-23-2025
3,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA P1049 12W 10000 MAH WHITE POWER BANK,3,P1006,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PORTER,9987268002.0,28-23-2025
4,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA P1049 12W 10000 MAH BLACK POWER BANK,3,P1006,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PORTER,9987268002.0,28-23-2025
5,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA P1051 POWER BANK 10000 MAH BLACK,4,P1006,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PORTER,9987268002.0,28-23-2025
6,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA P1051 POWER BANK 10000 MAH WHITE,2,P1006,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PORTER,9987268002.0,28-23-2025
7,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA PB1069 22.5W BLACK POWER BANK,1,PB1069,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PORTER,9987268002.0,28-23-2025
8,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA PB1069 22.5W WHITE POWER BANK,2,PB1069,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PORTER,9987268002.0,28-23-2025
9,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,SYSKA SSW106 CG SMARTWATCH BLUWTOOTH CALLING SILVER,4,SSW106,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PORTER,9987268002.0,28-23-2025
10,2025-03-20,203,GLOBAL SOLUTIONS ,SYSKA,Syska P1071 10000 MAH White Powerbank,3,P1006,,RPLC/1832/2425,DOAG/1968/2425,2025-03-29,,82/165,2025-03-20,2025-03-20 00:00:00,,82/165,2025-03-20,PORTER,9987268002.0,28-23-2025
